naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Cornus florida f. rubra,https: / www.ebben.nl / nl / treeebb / cofrubra-cornus-florida-f-rubra,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,4 - 8 m,4 - 8 m,halfopen,rond,5A - 9B,bijen / vlinders / vogels / kleine zoogdieren,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cotoneaster horizontalis,https: / www.ebben.nl / nl / treeebb / cohorizo-cotoneaster-horizontalis,solitair heesters,onderbeplanting / bodembedekker,,,"1,5 - 1,8 m","0,5 - 1 m",gesloten,,5A - 7B,bijen / vogels / nectarwaarde 5 / pollenwaarde 5,droog,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,neutraal / basisch,stedelijke beplanting / ecobeplanting / landschappelijke beplanting,"groenstrook / bakken / containers / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,2b,exoot
Cornus kousa 'China Girl',https: / www.ebben.nl / nl / treeebb / cokcgirl-cornus-kousa-china-girl,beveerde bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,"2,5 - 3,5 m",4 - 5 m,halfopen,vaas / breed vaas,5A - 8B,bijen / vogels / kleine zoogdieren / mensen,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,voedselbos,park / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus kousa var. chinensis,https: / www.ebben.nl / nl / treeebb / cokchine-cornus-kousa-var-chinensis,hoogstam bomen / beveerde bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,"4,5 - 6 m","4,5 - 6 m",halfopen,breed vaas,6B - 8B,vlinders / vogels,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus kousa 'Milky Way',https: / www.ebben.nl / nl / treeebb / cokmway-cornus-kousa-milky-way,hoogstam bomen / beveerde bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,5 - 7 m,5 - 7 m,halfopen,vaas,5A - 8B,bijen / vogels / kleine zoogdieren,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,voedselbos,park / bakken / containers / grote tuin / begraafplaats,geen,,
Cornus kousa,https: / www.ebben.nl / nl / treeebb / cokousa-cornus-kousa,hoogstam bomen / beveerde bomen / meerstammige bomen / solitair heesters,,,,"4,5 - 6 m","4,5 - 6 m",halfopen,breed vaas,5A - 8B,bijen / vogels / kleine zoogdieren / mensen,vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,voedselbos,park / groenstrook / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus kousa 'Satomi',https: / www.ebben.nl / nl / treeebb / coksatom-cornus-kousa-satomi,meerstammige bomen / solitair heesters,,meerstammig parasol,,"3,5 - 5 m","3,5 - 5 m",halfopen,breed vaas,6B - 9A,bijen / vogels / kleine zoogdieren,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus kousa 'Schmetterling',https: / www.ebben.nl / nl / treeebb / cokschme-cornus-kousa-schmetterling,solitair heesters,,meerstammig parasol,,1 - 3 m,2 - 5 m,halfopen,smal vaas,5A - 8B,bijen / vogels / kleine zoogdieren,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,voedselbos,park / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus kousa 'Weisse Fontäne',https: / www.ebben.nl / nl / treeebb / cokwfont-cornus-kousa-weisse-fontane,meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 4 m,2 - 4 m,halfopen,vaas,5A - 8B,bijen / vogels / kleine zoogdieren,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus mas,https: / www.ebben.nl / nl / treeebb / comas-cornus-mas,hoogstam bomen / halfstam bomen / beveerde bomen / meerstammige bomen / klimaatbomen / karakteristieke bomen / fruitbomen / bosplantsoen / solitair heesters,,bijenkorf / cilinder / meerstammig parasol / lei / leischerm,cilinder / zuil / haag / berceau / lei,3 - 5 m,5 - 7 m,gesloten,rond / afgeplat rond,4A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 4 / pollenwaarde 4,droog / vochtig,verdraagt droogte / verdraagt hitte,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / voedselbos / ecobeplanting / landschappelijke beplanting / stedelijke beplanting,"straat / park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone / windsingel",geen / open / dicht,1a,inheems
