naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Acer negundo,https: / www.ebben.nl / nl / treeebb / acnegund-acer-negundo,hoogstam bomen / meerstammige bomen / klimaatbomen,,,,8 - 12 m,10 - 14 m,halfopen,rond,4A - 8B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,zeer droog / droog / vochtig / nat / zeer nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon,voedselarm / matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / wadi",geen,2b,exoot
Acer negundo 'Flamingo',https: / www.ebben.nl / nl / treeebb / acnflami-acer-negundo-flamingo,hoogstam bomen / halfstam bomen / meerstammige bomen / klimaatbomen / solitair heesters,,meerstammig parasol,,5 - 7 m,5 - 7 m,halfopen,breed eirond,5A - 8B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,zeer droog / droog / vochtig / nat / zeer nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"park / groenstrook / bakken / containers / grote tuin / begraafplaats / verkeer, industrie / wadi",geen,,
Acer NORWEGIAN SUNSET,https: / www.ebben.nl / nl / treeebb / acnsunse-acer-norwegian-sunset,hoogstam bomen / schaduwbomen,,,,5 - 8 m,5 - 10 m,halfopen,ovaal,6A - 8B,bijen / vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,stedelijke beplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Acer negundo 'Variegatum',https: / www.ebben.nl / nl / treeebb / acnvarie-acer-negundo-variegatum,hoogstam bomen / halfstam bomen / meerstammige bomen / klimaatbomen / solitair heesters,,meerstammig parasol,,4 - 7 m,6 - 10 m,halfopen,breed eirond,4A - 8B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,zeer droog / droog / vochtig / nat / zeer nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / wadi",geen,,
Acer opalus,https: / www.ebben.nl / nl / treeebb / acopalus-acer-opalus,hoogstam bomen / meerstammige bomen / klimaatbomen / solitair heesters,,meerstammig parasol,,5 - 10 m,10 - 15 m,halfopen,eirond,5A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselarm / matig voedselrijk,verdraagt geen wind,neutraal / basisch,klimaatbeplanting / ecobeplanting / landschappelijke beplanting / stedelijke beplanting,park / groenstrook / bakken / containers / grote tuin / begraafplaats / landschap / ecologische zone,geen / open,,
Acer palmatum,https: / www.ebben.nl / nl / treeebb / acpalmat-acer-palmatum,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,7 - 10 m,7 - 10 m,halfopen,breed vaas,5B - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,,park / bakken / containers / grote tuin / begraafplaats,geen,,
Acer palmatum 'Atropurpureum',https: / www.ebben.nl / nl / treeebb / acpatrop-acer-palmatum-atropurpureum,meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,3 - 5 m,3 - 5 m,halfopen,vaas,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig / nat,,löss / zavel / veen / lichte klei / zand / lemige grond,halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Acer palmatum 'Bloodgood',https: / www.ebben.nl / nl / treeebb / acpblood-acer-palmatum-bloodgood,meerstammige bomen / solitair heesters,,meerstammig parasol,,5 - 7 m,"4,5 - 6 m",halfopen,breed vaas,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / lichte klei / zand / lemige grond,halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,schaduwtolerant,park / bakken / containers / grote tuin / begraafplaats,geen,,
Acer pseudoplatanus 'Brilliantissimum',https: / www.ebben.nl / nl / treeebb / acpbrill-acer-pseudoplatanus-brilliantissimum,hoogstam bomen / halfstam bomen,,bol,,3 - 5 m,5 - 7 m,gesloten,rond,4B - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,ecobeplanting,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie",geen,,
Acer pseudoplatanus 'Bruchem',https: / www.ebben.nl / nl / treeebb / acpbruch-acer-pseudoplatanus-bruchem,hoogstam bomen / schaduwbomen,,,,10 - 15 m,15 - 20 m,gesloten,eirond,4A - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,ecobeplanting,"laan / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / windsingel / kustgebied",geen / open,,
Acer palmatum 'Chitoseyama',https: / www.ebben.nl / nl / treeebb / acpchito-acer-palmatum-chitoseyama,solitair heesters,,,,2 - 3 m,2 - 3 m,halfopen,afgeplat rond,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig / nat,,löss / zavel / veen / lichte klei / zand / lemige grond,halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,schaduwtolerant,park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Acer platanoides 'Cleveland',https: / www.ebben.nl / nl / treeebb / acpcleve-acer-platanoides-cleveland,hoogstam bomen / klimaatbomen / schaduwbomen,,,,6 - 12 m,10 - 15 m,gesloten,ovaal,4A - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / stedelijke beplanting,"laan / park / groenstrook / daktuin / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone / windsingel",geen / open,,
Acer platanoides 'Columnare',https: / www.ebben.nl / nl / treeebb / acpcolum-acer-platanoides-columnare,hoogstam bomen / beveerde bomen / klimaatbomen,,,,5 - 6 m,10 - 15 m,gesloten,zuil,4A - 9B,bijen / vlinders,droog / vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer pseudoplatanus 'Constant P.',https: / www.ebben.nl / nl / treeebb / acpconst-acer-pseudoplatanus-constant-p,hoogstam bomen / schaduwbomen,,,,12 - 15 m,15 - 20 m,gesloten,eirond,4A - 9B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,ecobeplanting,"laan / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / kustgebied",geen / open,,
Acer platanoides 'Crimson Sentry',https: / www.ebben.nl / nl / treeebb / acpcsent-acer-platanoides-crimson-sentry,hoogstam bomen / halfstam bomen / beveerde bomen / meerstammige bomen / klimaatbomen / schaduwbomen,,,,6 - 8 m,8 - 10 m,gesloten,eirond,4A - 8B,bijen / vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer platanoides 'Deborah',https: / www.ebben.nl / nl / treeebb / acpdebor-acer-platanoides-deborah,hoogstam bomen / klimaatbomen / schaduwbomen,,,,9 - 12 m,10 - 15 m,gesloten,breed eirond,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / stedelijke beplanting,"laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie / landschap",geen / open,,
Acer palmatum 'Deshôjô',https: / www.ebben.nl / nl / treeebb / acpdesho-acer-palmatum-deshojo,solitair heesters,,,,2 - 3 m,2 - 3 m,halfopen,afgeplat rond,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,droog / vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Acer palmatum 'Dissectum',https: / www.ebben.nl / nl / treeebb / acpdisse-acer-palmatum-dissectum,halfstam bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,2 - 3 m,gesloten,afgeplat rond,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt geen wind,zuur / neutraal,,park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Acer platanoides 'Drummondii',https: / www.ebben.nl / nl / treeebb / acpdrumm-acer-platanoides-drummondii,hoogstam bomen / meerstammige bomen / klimaatbomen / schaduwbomen,,blok,,7 - 9 m,8 - 12 m,halfopen,breed eirond,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / stedelijke beplanting,"laan / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer platanoides 'Ebben's Column',https: / www.ebben.nl / nl / treeebb / acpecolu-acer-platanoides-ebbens-column,hoogstam bomen / klimaatbomen,,,,2 - 3 m,7 - 9 m,gesloten,zuil,4A - 8B,bijen / vlinders,droog / vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Acer pensylvanicum,https: / www.ebben.nl / nl / treeebb / acpensyl-acer-pensylvanicum,hoogstam bomen / meerstammige bomen / solitair heesters,,,,3 - 6 m,7 - 9 m,open,vaas,5B - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,halfschaduw / schaduw,voedselrijk,verdraagt geen wind,zuur / neutraal,ecobeplanting / schaduwtolerant,park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen,,
Acer platanoides 'Emerald Queen',https: / www.ebben.nl / nl / treeebb / acpequee-acer-platanoides-emerald-queen,hoogstam bomen / schaduwbomen,,,,8 - 10 m,15 - 20 m,gesloten,eirond,6A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,"laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer platanoides 'Eurostar',https: / www.ebben.nl / nl / treeebb / acpeuros-acer-platanoides-eurostar,hoogstam bomen / klimaatbomen / schaduwbomen,,,,6 - 8 m,12 - 15 m,halfopen,breed piramidaal,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / solide beplanting / stedelijke beplanting,"laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer platanoides 'Fairview',https: / www.ebben.nl / nl / treeebb / acpfairv-acer-platanoides-fairview,hoogstam bomen / beveerde bomen,,,,5 - 7 m,10 - 15 m,gesloten,smal ovaal,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig / nat,verdraagt droogte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,laan / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats,geen / open,,
Acer platanoides 'Faassen's Black',https: / www.ebben.nl / nl / treeebb / acpfblac-acer-platanoides-faassens-black,hoogstam bomen / meerstammige bomen / klimaatbomen / schaduwbomen,,,,8 - 10 m,15 - 20 m,gesloten,breed piramidaal,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / stedelijke beplanting,"laan / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer platanoides 'Farlake's Green',https: / www.ebben.nl / nl / treeebb / acpfgree-acer-platanoides-farlakes-green,hoogstam bomen / klimaatbomen / schaduwbomen,,,,8 - 10 m,15 - 20 m,gesloten,rond,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / stedelijke beplanting,"laan / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Acer palmatum 'Fireglow',https: / www.ebben.nl / nl / treeebb / acpfireg-acer-palmatum-fireglow,meerstammige bomen / solitair heesters,,meerstammig parasol,,3 - 4 m,4 - 7 m,halfopen,vaas,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Acer palmatum 'Garnet',https: / www.ebben.nl / nl / treeebb / acpgarne-acer-palmatum-garnet,halfstam bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,2 - 3 m,halfopen,afgeplat rond,6A - 9B,bijen / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Acer platanoides 'Globosum',https: / www.ebben.nl / nl / treeebb / acpglobo-acer-platanoides-globosum,hoogstam bomen / halfstam bomen / klimaatbomen,,bol / piramide / kegel,bol,5 - 7 m,5 - 7 m,gesloten,rond / afgeplat rond,4A - 9B,bijen / vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting,"plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Acer platanoides 'Grenoble',https: / www.ebben.nl / nl / treeebb / acpgreno-acer-platanoides-grenoble,hoogstam bomen / klimaatbomen,,piramide / kegel,,2 - 3 m,7 - 10 m,gesloten,smal eirond,4A - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
