naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Moerasstruisgras,Agrostis canina,ja,zon,nat / zeer nat,,7.96875,7.0,9.0,8.416666666666666,7.0,10.0,5.0,3.0,6.0,2.0,1.0,3.0,3.0714285714285716,2.0,5.0,0.0,0.0,0.0,,,,
Moeras- / Zandstruisgras,Agrostis canina / vinealis,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewoon struisgras,Agrostis capillaris,ja,halfschaduw / zon,droog / vochtig,,7.2375,6.0,9.0,4.892857142857143,4.0,6.25,4.883333333333334,3.0,6.0,3.2857142857142856,1.0,5.0,3.542857142857143,3.0,4.0,0.0,0.0,0.0,,,,
Tweetoppig struisgras,Agrostis castellana,,zon,droog / vochtig / nat / zeer nat,,8.333333333333332,8.0,9.0,4.833333333333332,3.0,8.0,7.0666666666666655,6.0,9.0,2.6666666666666674,1.0,5.0,4.5,2.0,7.0,0.0,0.0,0.0,,,,
Hoog struisgras,Agrostis gigantea,ja,zon,vochtig / nat / zeer nat,,7.357142857142857,7.0,9.0,7.535714285714286,6.0,10.0,5.125,4.75,6.0,6.0,5.0,7.0,6.833333333333333,6.0,7.0,0.2,0.0,1.0,,,,
Klein struisgras,Agrostis hyemalis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agrostis lachnantha,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevelgras,Agrostis nebulosa,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruw struisgras,Agrostis scabra,,,,,,,,,,,,,,,,,,,,,,,,,,
Fioringras,Agrostis stolonifera,ja,zon,vochtig / nat / zeer nat,,7.7666666666666675,7.0,9.0,6.965000000000001,6.0,8.25,5.928571428571429,4.5,11.0,4.985185185185185,3.0,6.0,5.857142857142857,4.0,8.0,0.9703703703703701,0.0,6.0,,,,
Fioringras / Hoog struisgras,Agrostis stolonifera / gigantea,,,,,,,,,,,,,,,,,,,,,,,,,,
Zandstruisgras,Agrostis vinealis,ja,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,3.75,2.0,6.25,5.95,4.0,8.0,1.6,1.0,2.0,2.6,2.0,3.0,0.0,0.0,0.0,,,,
Basterdstruisgras,Agrostis x fouilladeana,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus (G),Ailanthus,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemelboom,Ailanthus altissima,nee,halfschaduw / zon,vochtig,,7.142857142857143,6.0,8.0,5.071428571428571,5.0,5.5,7.75,6.0,11.0,7.166666666666667,5.0,8.0,6.333333333333333,5.0,7.0,0.3333333333333333,0.0,1.0,20.0,15.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Dwerghaver (G),Aira,,,,,,,,,,,,,,,,,,,,,,,,,,
Zilverhaver,Aira caryophyllea,ja,zon,zeer droog / droog / vochtig,,8.714285714285714,8.0,9.0,2.392857142857143,1.0,4.75,6.5,5.0,8.0,1.5833333333333333,1.0,2.0,3.6666666666666665,2.0,5.0,0.0,0.0,0.0,,,,
