naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Scandix (G),Scandix,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scandix balansae,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scandix iberica,,,,,,,,,,,,,,,,,,,,,,,,,,
Naaldenkervel,Scandix pecten-veneris,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Raaigras x Zwenkgras,Schedolium (x),,,,,,,,,,,,,,,,,,,,,,,,,,
Beemdlangbloem x Italiaans raaigras,Schedolium braunii (x),,,,,,,,,,,,,,,,,,,,,,,,,,
Trosraaigras,Schedolium loliaceum (x),,,,,,,,,,,,,,,,,,,,,,,,,,
Langbloem (G),Schedonorus,,,,,,,,,,,,,,,,,,,,,,,,,,
Rietzwenkgras,Schedonorus arundinaceus,ja,zon,droog / vochtig / nat / zeer nat,,7.99,7.0,9.0,6.495454545454546,3.0,8.0,6.42,5.0,11.0,5.222222222222222,4.0,7.0,6.888888888888889,6.0,8.0,1.5333333333333334,0.0,3.0,,,,
Reuzenzwenkgras,Schedonorus giganteus,ja,halfschaduw / zon,vochtig / nat / zeer nat,,4.555555555555555,4.0,7.0,7.472222222222222,6.0,12.0,5.625,5.0,9.0,6.5,6.0,7.0,6.5,6.0,8.0,0.0,0.0,0.0,,,,
Beemdlangbloem,Schedonorus pratensis,ja,zon,zeer droog / droog / vochtig / nat,,7.8125,7.0,9.0,5.208333333333333,1.0,7.25,4.672619047619047,3.0,6.0,5.547619047619047,3.0,7.0,5.666666666666667,4.0,7.0,0.16666666666666666,0.0,1.0,,,,
Rietzwenkgras x Reuzenzwenkgras,Schedonorus x fleischeri,,,,,,,,,,,,,,,,,,,,,,,,,,
Beemdlangbloem x Reuzenzwenkgras,Schedonorus x schlickumii,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheuchzeria (G),Scheuchzeria,,,,,,,,,,,,,,,,,,,,,,,,,,
Veenbloembies,Scheuchzeria palustris,ja,zon,zeer nat,,8.785714285714286,8.0,9.0,9.25,9.0,10.0,4.714285714285714,4.0,5.0,1.1666666666666667,1.0,2.0,2.6666666666666665,1.0,5.0,0.0,0.0,0.0,,,,
,Schismus barbatus,,zon,zeer droog,,9.0,9.0,9.0,1.0,1.0,1.0,11.0,11.0,11.0,,,,,,,,,,,,,
,Schizachyrium,,,,,,,,,,,,,,,,,,,,,,,,,,
Klein prairiegras,Schizachyrium scoparium,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schkuhria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schkuhria pinnata,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schmidtia kalahariensis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schoenoplectiella,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribbelbies,Schoenoplectiella mucronata,,,,,,,,,,,,,,,,,,,,,,,,,,
Bies (G),Schoenoplectus,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattenbies,Schoenoplectus lacustris,ja,zon,zeer nat,,8.055555555555555,8.0,9.0,10.425,9.0,12.0,6.166666666666667,4.0,11.0,5.625,3.0,7.0,7.125,5.0,9.0,2.0,0.0,5.0,,,,
Mattenbies / Fransje,Schoenoplectus lacustris / subsp. flevensis,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattenbies / Ruwe bies,Schoenoplectus lacustris / tabernaemontani,,,,,,,,,,,,,,,,,,,,,,,,,,
Fransje,Schoenoplectus lacustris subsp. flevensis,,,,,,,,,,,,,,,,,,,,,,,,,,
Stekende bies,Schoenoplectus pungens,ja,zon,zeer nat,,8.0,8.0,8.0,9.714285714285714,9.0,10.0,6.5,6.0,8.0,6.8,6.0,7.0,6.8,6.0,7.0,2.0,0.0,5.0,,,,
Ruwe bies,Schoenoplectus tabernaemontani,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Driekantige bies,Schoenoplectus triqueter,ja,zon,zeer nat,,8.0,8.0,8.0,9.666666666666666,9.0,10.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,1.8,0.0,3.0,,,,
Basterdbies,Schoenoplectus x carinatus,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruwe bies x Driekantige bies,Schoenoplectus x kuekenthalianus,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenus (G),Schoenus,,,,,,,,,,,,,,,,,,,,,,,,,,
Knopbies,Schoenus nigricans,ja,zon,vochtig / nat / zeer nat,,8.722222222222221,8.0,9.0,8.05,5.0,9.0,6.777777777777778,6.0,11.0,2.0,1.0,3.0,8.125,6.0,9.0,1.1428571428571428,0.0,3.0,,,,
,Sciadopitys,,,,,,,,,,,,,,,,,,,,,,,,,,
Kransspar,Sciadopitys verticillata,,,,,,,,,,,,,,,,,,,,,,,7.0,4.5,4B,Löss | Zavel | Lichte klei | Leem
Sterhyacint (G),Scilla,,,,,,,,,,,,,,,,,,,,,,,,,,
Vroege sterhyacint,Scilla bifolia,ja,halfschaduw / zon,vochtig / nat,,5.202380952380953,4.0,7.0,6.154761904761904,5.0,7.0,6.583333333333332,5.0,10.0,6.0555555555555545,6.0,7.0,6.9444444444444455,6.0,7.0,0.0,0.0,0.0,,,,
Grote sneeuwroem,Scilla forbesii,ja,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,
Grote/Middelste sneeuwroem,Scilla forbesii / luciliae,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scilla lochiae,,,,,,,,,,,,,,,,,,,,,,,,,,
Middelste sneeuwroem,Scilla luciliae,,,,,,,,,,,,,,,,,,,,,,,,,,
Streephyacint,Scilla mischtschenkoana,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,
,Scilla nana,,zon,vochtig,,7.0,7.0,7.0,5.0,5.0,5.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Kleine sneeuwroem,Scilla sardensis,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,
Oosterse sterhyacint,Scilla siberica,ja,halfschaduw,vochtig / nat,,6.0,6.0,6.0,5.875,5.0,6.75,5.5,4.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,,,,
Scirpoides (G),Scirpoides,,,,,,,,,,,,,,,,,,,,,,,,,,
Kogelbies,Scirpoides holoschoenus,ja,zon,vochtig / nat / zeer nat,,8.05,7.0,9.0,7.5,6.0,8.0,7.15,5.5,11.0,5.25,3.0,8.0,6.75,5.0,7.0,1.0,0.0,6.0,,,,
Scirpus (G),Scirpus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scirpus atrovirens,,,,,,,,,,,,,,,,,,,,,,,,,,
Wollige bosbies,Scirpus cyperinus,,,,,,,,,,,,,,,,,,,,,,,,,,
Roodbruine bies,Scirpus georgianus,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosbies,Scirpus sylvaticus,ja,halfschaduw / zon,nat / zeer nat,,6.375,5.0,7.0,8.694444444444445,7.0,12.0,4.9375,4.5,5.0,4.285714285714286,3.0,6.0,4.571428571428571,3.0,6.0,0.0,0.0,0.0,,,,
Hardbloem (G),Scleranthus,,,,,,,,,,,,,,,,,,,,,,,,,,
Eenjarige / Kleine hardbloem,Scleranthus annuus,,halfschaduw / zon,zeer droog / droog / vochtig,,7.125,6.0,9.0,4.0625,1.0,5.5,5.59375,5.0,7.0,4.0,2.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,,,,
Eenjarige hardbloem,Scleranthus annuus subsp. annuus,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Kleine hardbloem,Scleranthus annuus subsp. polycarpos,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Overblijvende hardbloem,Scleranthus perennis,ja,zon,zeer droog / droog / vochtig,,8.071428571428571,8.0,9.0,2.8333333333333335,2.0,5.0,5.375,3.0,6.0,1.4,1.0,3.0,3.7,2.0,5.0,0.0,0.0,0.0,,,,
,Scleranthus x intermedius,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scolymus,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaanse gouddistel,Scolymus hispanicus,,zon,zeer droog / droog,,8.666666666666666,8.0,9.0,3.0,2.0,4.0,8.0,7.0,9.0,7.0,6.0,8.0,7.333333333333333,6.0,8.0,0.3333333333333333,0.0,1.0,,,,
,Scolymus maculatus,,zon,droog,,8.333333333333334,8.0,9.0,3.5,3.0,4.0,10.333333333333334,9.0,11.0,6.666666666666667,5.0,8.0,6.5,5.0,8.0,0.3333333333333333,0.0,1.0,,,,
,Scopolia,,,,,,,,,,,,,,,,,,,,,,,,,,
Klokbilzekruid,Scopolia carniolica,,schaduw / halfschaduw,vochtig / nat,,4.0,3.0,5.0,5.833333333333333,5.0,7.0,5.3125,4.0,6.0,7.5,7.0,8.0,7.5,7.0,8.0,0.0,0.0,0.0,,,,
,Scorpiurus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scorpiurus muricatus,,zon,zeer droog / droog / vochtig,,7.666666666666667,7.0,9.0,3.0,1.0,5.0,8.666666666666666,7.0,11.0,4.0,2.0,6.0,7.333333333333333,6.0,8.0,0.5,0.0,1.0,,,,
Schorseneer (G),Scorzonera,,,,,,,,,,,,,,,,,,,,,,,,,,
Grote schorseneer,Scorzonera hispanica,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleine schorseneer,Scorzonera humilis,ja,zon,vochtig / nat / zeer nat,,7.4375,7.0,9.0,6.694444444444445,6.0,8.0,5.59375,4.75,6.0,2.2857142857142856,1.0,4.0,4.714285714285714,3.0,6.0,0.0,0.0,0.0,,,,
,Scorzoneroides,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertakte leeuwentand,Scorzoneroides autumnalis,ja,zon,vochtig / nat,,7.4375,7.0,8.0,5.472222222222222,5.0,7.0,4.6,3.0,6.0,5.047619047619047,4.0,6.0,5.5555555555555545,5.0,6.0,0.5,0.0,1.0,,,,
Helmkruid (G),Scrophularia,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoord helmkruid,Scrophularia auriculata,ja,halfschaduw / zon,nat / zeer nat,,7.5,6.0,9.0,8.5,7.0,11.0,7.4444444444444455,5.0,11.0,6.5,5.0,7.0,6.666666666666667,5.0,8.0,0.4,0.0,2.0,,,,
Geoord / Gevleugeld helmkruid,Scrophularia auriculata / umbrosa,,,,,,,,,,,,,,,,,,,,,,,,,,
Hondshelmkruid,Scrophularia canina,,zon,zeer droog / droog / vochtig,,8.305555555555555,8.0,9.0,3.5277777777777786,1.0,5.0,7.845238095238096,4.0,11.0,2.933333333333334,2.0,4.0,7.6,6.0,8.0,0.25,0.0,1.0,,,,
,Scrophularia chrysantha,,,,,,,,,,,,,,,,,,,,,,,,,,
Knopig helmkruid,Scrophularia nodosa,ja,halfschaduw,vochtig / nat,,4.75,4.0,6.0,6.25,5.0,7.25,5.09375,4.0,7.0,6.857142857142857,6.0,8.0,6.571428571428571,6.0,9.0,0.0,0.0,0.0,,,,
Koraalhelmkruid,Scrophularia peregrina,,halfschaduw,droog / vochtig,,5.666666666666667,5.0,6.0,5.0,4.0,6.0,9.0,8.0,11.0,6.0,5.0,7.0,6.666666666666667,6.0,8.0,0.0,0.0,0.0,,,,
,Scrophularia scopolii,,halfschaduw,vochtig / nat,,4.75,4.0,6.0,6.5625,5.0,7.25,5.7,5.0,6.0,6.333333333333333,5.0,7.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
Gevleugeld helmkruid,Scrophularia umbrosa,ja,halfschaduw / zon,nat / zeer nat,,6.714285714285714,6.0,7.0,8.625,7.0,10.0,5.785714285714286,4.0,8.0,7.0,7.0,7.0,7.5,7.0,8.0,0.16666666666666666,0.0,1.0,,,,
Voorjaarshelmkruid,Scrophularia vernalis,ja,schaduw / halfschaduw,vochtig / nat,,4.857142857142857,3.0,6.0,5.428571428571429,5.0,7.0,5.75,4.0,7.0,5.833333333333333,4.0,7.0,6.666666666666667,5.0,7.0,0.0,0.0,0.0,,,,
Glidkruid (G),Scutellaria,,,,,,,,,,,,,,,,,,,,,,,,,,
Groot glidkruid,Scutellaria altissima,,halfschaduw / zon,droog / vochtig,,5.9,5.0,8.0,4.85,4.0,6.25,6.708333333333333,5.25,8.0,5.25,5.0,6.0,6.75,5.0,8.0,0.0,0.0,0.0,,,,
Trosglidkruid,Scutellaria columnae,ja,halfschaduw / zon,droog,,6.666666666666667,6.0,8.0,4.0,4.0,4.0,8.0,8.0,8.0,5.333333333333333,4.0,7.0,7.333333333333333,7.0,8.0,0.0,0.0,0.0,,,,
Blauw glidkruid,Scutellaria galericulata,ja,halfschaduw / zon,nat / zeer nat,,7.125,6.0,9.0,9.0,8.0,12.0,5.3125,4.5,6.0,5.857142857142857,5.0,6.0,6.571428571428571,6.0,7.0,0.16666666666666666,0.0,1.0,,,,
Klein glidkruid,Scutellaria minor,ja,zon,nat / zeer nat,,7.6,7.0,9.0,9.0,7.0,12.0,6.0,5.0,7.0,2.0,1.0,3.0,2.6,2.0,4.0,0.0,0.0,0.0,,,,
,Scutellaria x nicholsonii,,,,,,,,,,,,,,,,,,,,,,,,,,
Secale (G),Secale,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogge,Secale cereale,,zon,vochtig,,8.333333333333334,8.0,9.0,5.0,5.0,5.0,6.333333333333333,5.0,8.0,5.666666666666667,5.0,7.0,5.333333333333333,4.0,7.0,0.0,0.0,0.0,,,,
Securigera (G),Securigera,,,,,,,,,,,,,,,,,,,,,,,,,,
,Securigera securidaca,,zon,droog / vochtig,,7.666666666666667,7.0,9.0,4.666666666666667,4.0,6.0,8.666666666666666,6.0,11.0,6.0,5.0,7.0,7.666666666666667,7.0,8.0,0.0,0.0,0.0,,,,
Bont kroonkruid,Securigera varia,ja,halfschaduw / zon,droog / vochtig,,6.916666666666667,6.0,7.5,4.208333333333333,4.0,5.25,5.892857142857143,5.0,7.0,3.2,3.0,4.0,7.8,7.0,9.0,0.0,0.0,0.0,,,,
Vetkruid (G),Sedum,,,,,,,,,,,,,,,,,,,,,,,,,,
Muurpeper,Sedum acre,ja,zon,zeer droog / droog / vochtig,,8.2,7.5,9.0,2.0681818181818183,1.0,4.75,5.825,4.75,8.0,1.6666666666666667,1.0,3.0,6.571428571428571,6.0,8.0,0.375,0.0,1.0,,,,
,Sedum aizoon,,,,,,,,,,,,,,,,,,,,,,,,,,
Wit vetkruid,Sedum album,ja,zon,zeer droog / droog / vochtig,,8.61111111111111,8.0,9.0,2.55,1.0,5.5,6.25,5.0,8.0,1.875,1.0,3.0,7.0,6.0,8.0,0.14285714285714285,0.0,1.0,,,,
,Sedum anglicum,,zon,zeer droog / droog,,8.333333333333334,8.0,9.0,2.3333333333333335,2.0,3.0,5.0,4.0,6.0,1.6666666666666667,1.0,2.0,3.0,2.0,4.0,0.5,0.0,1.0,,,,
Omgebogen vetkruid,Sedum cepaea,,halfschaduw,droog / vochtig,,4.333333333333333,4.0,5.0,4.333333333333333,3.0,5.0,8.0,6.0,10.0,5.0,4.0,6.0,5.666666666666667,5.0,7.0,0.0,0.0,0.0,,,,
Dik vetkruid,Sedum dasyphyllum,,zon,zeer droog / droog,,7.6,7.0,9.0,2.4,1.0,3.0,6.0,5.0,7.0,2.3333333333333335,2.0,3.0,6.333333333333333,5.0,8.0,0.0,0.0,0.0,,,,
,Sedum floriferum,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierlijk vetkruid,Sedum forsterianum,,zon,zeer droog / droog,,8.0,7.0,9.0,2.3333333333333335,1.0,3.0,7.0,6.0,8.0,1.0,1.0,1.0,5.0,4.0,6.0,0.0,0.0,0.0,,,,
,Sedum hirsutum,,halfschaduw / zon,zeer droog / droog,,7.0,5.0,9.0,2.0,1.0,3.0,4.666666666666667,4.0,5.0,1.5,1.0,2.0,4.5,4.0,5.0,0.0,0.0,0.0,,,,
Spaans vetkruid,Sedum hispanicum,nee,zon,zeer droog / droog / vochtig,,8.6,8.0,9.0,2.7,1.0,4.5,6.958333333333333,5.75,10.0,2.75,1.0,4.0,5.25,4.0,7.0,0.0,0.0,0.0,,,,
,Sedum lydium,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sedum ochroleucum,,zon,zeer droog,,9.0,9.0,9.0,2.0,2.0,2.0,7.5,7.0,8.0,1.0,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,
,Sedum pallidum,,zon,vochtig,,8.0,8.0,8.0,5.0,5.0,5.0,6.25,6.25,6.25,,,,,,,,,,,,,
,Sedum rubens,,zon,zeer droog / droog,,7.5,7.0,9.0,2.75,2.0,3.5,7.416666666666667,6.5,8.0,2.8,2.0,3.0,5.0,5.0,5.0,0.2,0.0,1.0,,,,
Tripmadam,Sedum rupestre,ja,zon,zeer droog / droog,,7.428571428571429,7.0,8.0,2.3214285714285716,2.0,4.25,5.607142857142857,5.0,8.0,1.8333333333333333,1.0,4.0,4.833333333333333,4.0,5.0,0.0,0.0,0.0,,,,
Driebladvetkruid,Sedum sarmentosum,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacht vetkruid,Sedum sexangulare,ja,zon,zeer droog / droog / vochtig,,7.333333333333333,7.0,8.0,2.7,1.0,5.5,5.25,4.5,6.0,1.5,1.0,3.0,6.25,6.0,7.0,0.0,0.0,0.0,,,,
,Sedum spathulifolium,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selaginella apoda,,,,,,,,,,,,,,,,,,,,,,,,,,
Gazonmosvarentje,Selaginella kraussiana,,,,,,,,,,,,,,,,,,,,,,,,,,
Selinum (G),Selinum,,,,,,,,,,,,,,,,,,,,,,,,,,
Karwijselie,Selinum carvifolia,ja,halfschaduw / zon,nat / zeer nat,,6.928571428571429,6.0,7.5,7.1875,7.0,8.0,5.035714285714286,4.25,6.0,3.0,2.0,4.0,6.0,5.0,8.0,0.0,0.0,0.0,,,,
Huislook (G),Sempervivum,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinnenwebhuislook,Sempervivum arachnoideum,,zon,zeer droog / droog,,9.0,9.0,9.0,2.3333333333333335,2.0,3.0,3.125,2.0,6.0,1.0,1.0,1.0,2.6666666666666665,2.0,3.0,0.0,0.0,0.0,,,,
Donderblad,Sempervivum tectorum,,zon,zeer droog,,8.428571428571429,8.0,9.0,1.8571428571428572,1.0,2.0,4.6,3.0,7.0,1.8,1.0,4.0,5.0,4.0,6.0,0.0,0.0,0.0,,,,
Klein spinraghuislook,Sempervivum x barbulatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Kruiskruid (G),Senecio,,,,,,,,,,,,,,,,,,,,,,,,,,
Bezemkruiskruid,Senecio inaequidens,nee,zon,zeer droog / droog,,8.4,8.0,9.0,2.6,2.0,3.0,7.166666666666667,7.0,8.0,3.6,3.0,5.0,6.8,6.0,7.0,0.2,0.0,1.0,,,,
,Senecio lautus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senecio lyratus,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaduwkruiskruid,Senecio ovatus,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Rivierkruiskruid,Senecio sarracenicus,ja,halfschaduw / zon,nat / zeer nat,,6.916666666666667,6.5,7.0,8.214285714285714,7.0,9.0,6.291666666666667,4.75,7.0,7.4,7.0,8.0,6.8,6.0,7.0,0.0,0.0,0.0,,,,
Glanzend kruiskruid,Senecio squalidus,,halfschaduw / zon,zeer droog / droog / vochtig,,7.611111111111112,6.0,9.0,4.222222222222221,2.0,5.0,5.8,3.0,11.0,6.277777777777779,1.0,8.0,7.2,1.0,8.0,0.0,0.0,0.0,,,,
Boskruiskruid,Senecio sylvaticus,ja,zon,zeer droog / droog / vochtig,,7.75,7.0,9.0,4.694444444444445,2.0,6.25,5.5,5.0,6.0,6.428571428571429,1.0,8.0,4.428571428571429,2.0,5.0,0.0,0.0,0.0,,,,
Oostelijk kruiskruid,Senecio vernalis,nee,,,,,,,,,,,,,,,,,,,,,,,,,
Kleverig kruiskruid,Senecio viscosus,ja,zon,droog / vochtig,,8.0,8.0,8.0,3.53125,3.0,5.25,5.5625,4.0,6.0,4.571428571428571,4.0,6.0,5.6,4.0,7.0,0.14285714285714285,0.0,1.0,,,,
Klein kruiskruid,Senecio vulgaris,ja,zon,zeer droog / droog / vochtig,,7.2,7.0,9.0,4.45,1.0,5.5,5.464285714285714,4.25,6.0,7.555555555555555,7.0,8.0,6.0,5.0,7.0,0.25,0.0,1.0,,,,
Klein kruiskruid var. hybernicus,Senecio vulgaris var. hybernicus,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterkruiskruid x Jakobskruiskruid,Senecio x ostenfeldii,,,,,,,,,,,,,,,,,,,,,,,,,,
Oostelijk x Klein kruiskruid,Senecio x pseudovernalis,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleverig kruiskruid x Boskruiskruid,Senecio x viscidulus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senna,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senna obtusifolia,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,
,Sequoia,,,,,,,,,,,,,,,,,,,,,,,,,,
Kustsequoia,Sequoia sempervirens,,,,,,,,,,,,,,,,,,,,,,,30.0,5.0,7A,Zavel | Lichte klei | Zand | Leem
,Sequoiadendron,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammoetboom,Sequoiadendron giganteum,,,,,,,,,,,,,,,,,,,,,,,30.0,8.0,7A,Löss | Zavel | Lichte klei | Zand | Leem
,Serapias,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serapias vomeracea,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seriphidium,,,,,,,,,,,,,,,,,,,,,,,,,,
Serratula (G),Serratula,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaagblad,Serratula tinctoria,ja,halfschaduw / zon,vochtig / nat / zeer nat,,7.0,6.0,9.0,6.523809523809525,5.0,8.0,5.527777777777778,2.0,6.0,3.125,1.0,5.0,6.15625,3.0,8.0,0.14285714285714285,0.0,1.0,,,,
,Sesamum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sesamum indicum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sesbania,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sesbania herbacea,,,,,,,,,,,,,,,,,,,,,,,,,,
Seselie (G),Seseli,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertswortel,Seseli libanotis,,zon,zeer droog / droog / vochtig,,7.375,7.0,9.0,3.2083333333333335,2.0,5.0,5.333333333333333,5.0,6.0,2.142857142857143,1.0,3.0,7.571428571428571,7.0,8.0,0.0,0.0,0.0,,,,
Bergseselie,Seseli montanum,,zon,zeer droog / droog / vochtig,,8.333333333333334,7.0,9.0,3.1111111111111103,2.0,5.0,5.958333333333332,1.0,8.0,1.88888888888889,1.0,3.0,7.166666666666667,6.0,8.0,0.0,0.0,0.0,,,,
Sesleria (G),Sesleria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sesleria autumnalis,,halfschaduw / zon,droog / vochtig,,6.0,5.0,7.0,4.75,4.0,5.0,5.5,4.0,7.0,4.75,4.0,7.0,6.5,6.0,7.0,0.0,0.0,0.0,,,,
Blauwgras,Sesleria caerulea,ja,zon,droog / vochtig,,7.285714285714286,7.0,9.0,4.428571428571429,3.0,6.0,3.1666666666666665,3.0,4.0,2.2857142857142856,1.0,3.0,8.285714285714286,7.0,9.0,0.0,0.0,0.0,,,,
Naaldaar (G),Setaria,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese naaldaar,Setaria faberi,nee,,,,,,,,,,,,,,,,,,,,,,,,,
Trosgierst,Setaria italica,,,,,,,,,,,,,,,,,,,,,,,,,,
Slanke naaldaar,Setaria parviflora,,,,,,,,,,,,,,,,,,,,,,,,,,
Geelrode naaldaar,Setaria pumila,ja,zon,droog / vochtig / nat / zeer nat,,7.285714285714286,7.0,8.0,4.785714285714286,4.0,8.0,7.375,6.0,11.0,6.333333333333333,6.0,7.0,5.5,4.0,8.0,0.16666666666666666,0.0,1.0,,,,
Kransnaaldaar,Setaria verticillata,ja,zon,droog / vochtig,,7.3125,7.0,8.0,4.25,4.0,5.75,7.375,6.0,9.0,7.333333333333333,7.0,8.0,5.25,4.0,6.0,0.16666666666666666,0.0,1.0,,,,
Gladde kransnaaldaar,Setaria verticilliformis,nee,zon,droog / vochtig,,7.75,7.0,8.0,4.5,4.0,6.0,7.6,7.0,9.0,6.75,6.0,7.0,6.0,4.0,7.0,0.25,0.0,1.0,,,,
,Setaria villosissima,,,,,,,,,,,,,,,,,,,,,,,,,,
Groene naaldaar,Setaria viridis,ja,zon,droog / vochtig / nat,,7.285714285714286,7.0,8.0,4.642857142857143,4.0,6.5,6.071428571428571,5.5,7.0,6.833333333333333,6.0,7.0,5.666666666666667,4.0,7.0,0.16666666666666666,0.0,1.0,,,,
Sherardia (G),Sherardia,,,,,,,,,,,,,,,,,,,,,,,,,,
Blauw walstro,Sherardia arvensis,ja,halfschaduw / zon,zeer droog / droog / vochtig,,7.166666666666667,6.0,9.0,4.055555555555555,1.0,5.5,6.03125,5.25,7.0,4.875,4.0,6.0,6.75,6.0,8.0,0.0,0.0,0.0,,,,
,Sicyos,,,,,,,,,,,,,,,,,,,,,,,,,,
Stekelaugurk,Sicyos angulatus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida acuta,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida cordifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida rhombifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida rohlenae,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida sivarajanii,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sida spinosa,,,,,,,,,,,,,,,,,,,,,,,,,,
Griekse malva,Sidalcea candida,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sideritis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sideritis hyssopifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sideritis italica,,zon,droog,,9.0,9.0,9.0,3.0,3.0,3.0,6.0,6.0,6.0,2.0,2.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
,Sideritis montana,,zon,zeer droog / droog / vochtig,,8.875,8.5,9.0,3.09375,2.0,4.75,7.175,5.5,9.0,3.3333333333333335,2.0,5.0,7.666666666666667,7.0,9.0,0.0,0.0,0.0,,,,
,Sideritis romana,,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,3.5,2.0,5.0,9.666666666666666,9.0,11.0,4.0,3.0,5.0,7.0,6.0,8.0,0.5,0.0,1.0,,,,
,Sigesbeckia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sigesbeckia orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauluskruid,Sigesbeckia serrata,,,,,,,,,,,,,,,,,,,,,,,,,,
Silaum (G),Silaum,,,,,,,,,,,,,,,,,,,,,,,,,,
Weidekervel,Silaum silaus,ja,zon,droog / vochtig / nat,,7.444444444444445,7.0,9.0,6.28125,4.0,7.25,5.694444444444445,5.0,6.0,3.125,2.0,5.0,6.875,5.0,8.0,0.2857142857142857,0.0,2.0,,,,
